,Unnamed: 0,fact,context,annotators,response,model,Understandable,Natural,MaintainsContext,Engaging,UsesKnowledge,Overall,understandability_cat,natural_cat,engage_cat,coherence_cat,groundedness_cat,overall_cat,understandability_unieval,naturalness_unieval,coherence_unieval,engagingness_unieval,groundedness_unieval,overall_unieval,perplexity,bleu,bleurt_notune_src,bleurt_notune_ttl,meteor_1,meteor_n,bert_f1_src,bert_precision_src,bert_recall_src,bert_f1_ttl,bert_precision_ttl,bert_recall_ttl,rouge1,rouge2,rougeL,ctc_e_engage,ctc_e_ground,ctc_d_engage,ctc_d_ground,ctc_r_engage,ctc_r_ground,cohere_met,consist_met,relev_met
0,0,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",shikib,"ha ha i'm so shy
",Original Ground Truth,1,3,3,1,0,3,poor,moderate,poor,moderate,poor,moderate,0.998777493,0.999148081,0.00119009,0.957483943,0.591647266,0.709649374,182.1232758,0,-1.710286617,-1.596826553,0.011061947,0.011061947,0.838251948,0.782124639,0.809216201,0.834202051,0.820984244,0.827540338,0.041666667,0.041666667,0.041666667,4.895761967,4.601351619,3.46844852,1.206562966,3.813413382,1.567626715,-4.109029019,-4.247918247,0.03323982
1,1,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",maxine,"ha ha i'm so shy
",Original Ground Truth,1,3,3,2,0,4,poor,moderate,poor,moderate,poor,high,0.998777493,0.999148081,0.00119009,0.957483943,0.591647266,0.709649374,182.1232758,0,-1.710286617,-1.596826553,0.011061947,0.011061947,0.838251948,0.782124698,0.809216261,0.834202051,0.820984244,0.827540338,0.041666667,0.041666667,0.041666667,4.895761967,4.601351619,3.46844852,1.206562966,3.813413382,1.567626715,-4.109029019,-4.247918247,0.03323982
2,2,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",mckenna,"ha ha i'm so shy
",Original Ground Truth,1,3,3,1,0,4,poor,moderate,poor,moderate,poor,high,0.998777493,0.999148081,0.00119009,0.957483943,0.591647266,0.709649374,182.1232758,0,-1.710286617,-1.596826553,0.011061947,0.011061947,0.838251948,0.782124639,0.809216201,0.834202051,0.820984244,0.827540338,0.041666667,0.041666667,0.041666667,4.895761967,4.601351619,3.46844852,1.206562966,3.813413382,1.567626715,-4.109029019,-4.247918247,0.03323982
3,3,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",shikib,"i know what you mean spend most nights cuddling my dog and star watching
",KV-MemNN,1,3,1,3,1,2,poor,moderate,moderate,poor,poor,poor,0.992857698,0.992780503,0.71429956,0.967325253,0.648763754,0.863205353,142.5963898,0,-1.67775321,-1.5534482,0.039005224,0.041493776,0.828414202,0.782379389,0.804738939,0.81241858,0.818428874,0.815412641,0.107142857,0.107142857,0.107142857,11.53351134,11.37963486,5.998524532,3.436222825,5.563293457,2.810177803,-4.330015624,-4.242847292,0.034280654
4,4,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",maxine,"i know what you mean spend most nights cuddling my dog and star watching
",KV-MemNN,1,3,1,3,0,2,poor,moderate,moderate,poor,poor,poor,0.992857698,0.992780503,0.71429956,0.967325253,0.648763754,0.863205353,142.5963898,0,-1.67775321,-1.5534482,0.039005224,0.041493776,0.828414202,0.782379389,0.804738939,0.81241858,0.818428874,0.815412641,0.107142857,0.107142857,0.107142857,11.53351134,11.37963486,5.998524532,3.436222825,5.563293457,2.810177803,-4.330015624,-4.242847292,0.034280654
5,5,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",mckenna,"i know what you mean spend most nights cuddling my dog and star watching
",KV-MemNN,1,3,1,3,1,2,poor,moderate,moderate,poor,poor,poor,0.992857698,0.992780503,0.71429956,0.967325253,0.648763754,0.863205353,142.5963898,0,-1.67775321,-1.5534482,0.039005224,0.041493776,0.828414202,0.782379389,0.804738939,0.81241858,0.818428874,0.815412641,0.107142857,0.107142857,0.107142857,11.53351134,11.37963486,5.998524532,3.436222825,5.563293457,2.810177803,-4.330015624,-4.242847292,0.034280654
6,6,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",shikib,"i am a little shy but i am a little shy
",Seq2Seq,1,2,3,1,0,3,poor,poor,poor,moderate,poor,moderate,0.010128202,0.010513489,0.00332738,0.951169505,0.187026664,0.232433048,19.65750313,0,-1.490362167,-1.38288343,0.025716385,0.052192067,0.851555645,0.782819331,0.815742075,0.868330121,0.828087568,0.847731531,0.188679245,0.188679245,0.188679245,8.209724307,7.961229146,2.16992259,2.697738409,2.857877731,1.044905901,-4.196492908,-4.277028023,0.033293433
7,7,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",maxine,"i am a little shy but i am a little shy
",Seq2Seq,1,1,3,2,0,3,poor,poor,poor,moderate,poor,moderate,0.010128202,0.010513489,0.00332738,0.951169505,0.187026664,0.232433048,19.65750313,0,-1.490362167,-1.38288343,0.025716385,0.052192067,0.851555645,0.78281939,0.815742135,0.868330121,0.828087568,0.847731531,0.188679245,0.188679245,0.188679245,8.209724307,7.961229146,2.16992259,2.697738409,2.857877731,1.044905901,-4.196492908,-4.277028023,0.033293433
8,8,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",mckenna,"i am a little shy but i am a little shy
",Seq2Seq,1,2,3,2,0,3,poor,poor,poor,moderate,poor,moderate,0.010128202,0.010513489,0.00332738,0.951169505,0.187026664,0.232433048,19.65750313,0,-1.490362167,-1.38288343,0.025716385,0.052192067,0.851555645,0.782819331,0.815742075,0.868330121,0.828087568,0.847731531,0.188679245,0.188679245,0.188679245,8.209724307,7.961229146,2.16992259,2.697738409,2.857877731,1.044905901,-4.196492908,-4.277028023,0.033293433
9,9,"your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
",shikib,"i am not . i am a student .
",Language Model,0,2,1,1,0,2,poor,poor,poor,poor,poor,poor,0.999556618,0.999615438,0.002174925,1.005313137,0.015296288,0.604391281,50.74409485,0,-2.055372715,-2.068366766,0.025754231,0.062893082,0.872631907,0.78305918,0.825422585,0.863591433,0.818302393,0.840337157,0.163265306,0.163265306,0.163265306,6.692798257,6.468249559,1.222898245,0.027647374,2.102782726,2.032487154,-4.379593588,-4.270724075,0.033026956
